,sentence,author,char_length
11,seno shall die warned walked behind desk standing far without warning far greater celerity gave credit possessing snatched long sword scabbard upon forced jump backward quickly avoid first cut swung second time sword guard yo seno proved mean antagonist clever sword knew fighting life wondered first call help came conclusion warriors adjoining room upon previous visit yo seno s quarters fought silence din metal upon metal reflecting deadliness combat hurry done pressing closely resorted trick came near proving undoing backed desk thought could escape could see left hand behind heavy vase groping instant later saw thing flying straight head also,Edgar Rice Burroughs,652
12,beneath appeared determined free show free meal hurling best could trap door stood misgivings presently allayed realized even vast strength white ape could avail still staunch sturdy skeel ancient door finally convinced could come avenue set taking stock situation circling tower examined outward architecture simple expedient leaning far outward four sides three sides terminated roof building hundred fifty feet fourth extended pavement courtyard two hundred feet like much architecture ancient barsoom surface tower elaborately carved top bottom level window embrasures equipped small stone balconies rule single window level window level directly beneath never opened upon side tower window level always,Edgar Rice Burroughs,707
13,great red sun great lizards passed within gloomy cavern journey tjanath figures depicted nothing represented nature created though mad mind conceived whole waited great entrance hall palace jed four girls danced entertainment strange dance never seen upon barsoom steps movements weird fantastic mural decorations room executed yet certain rhythm suggestiveness undulations lithe bodies imparted us feeling well content fat greasy padwar guard moistened thick lips watched though doubtless seen dance upon many occasions seemed much affected perhaps phao sanoma tora occupy thoughts sanoma tora chiseled beauty noble face stood clearly upon screen memory brief instant slowly began fade tried recall,Edgar Rice Burroughs,699
14,stopping voice weird scream heard answer come east another another different directions hastened onward climbing low foothills led upward toward summit far looked back saw hunting men converging upon us sides never seen many one time perhaps get well mountains elude said tavia shook head least made good fight hadron said saw discouraged could wonder yet moment later looked smiled brightly still live hadron hastor exclaimed still live swords reminded climbed pressed upward behind us presently saw others coming hills right left turned low saddle hoped cross summit range hunting men entered coming toward us directly ahead us loomed high,Edgar Rice Burroughs,641
15,maiden sat upon massive bench rich sorapus wood bench might graced halls great jeddak intricate rich design perfect carving master craftsman produced upon leathern harness youth insignia rank service padwar umak youth hadron hastor sanoma tora daughter tor hatan come filled determination boldly plead cause suddenly become aware unworthiness offer beautiful daughter rich tor hatan padwar poor one course royal blood gathol veins knew would weight tor hatan given boasting could reminded sanoma tora advantages derived even known positively would influence therefore nothing offer great love perhaps greatest gift man woman bring another thought late sanoma tora might love upon,Edgar Rice Burroughs,679
16,would rake entire length ship pressed button instantly men upon deck dissolved thin air harness metal weapons left directing tavia run jhama alongside raised upper hatch leaped deck cruiser moment later raised signal surrender one imagine consternation aboard nearer ships jahar saw signal flying forward mast none sufficiently close witnessed actually transpired aboard returning cabin jhama lowered hatch went periscope far rear first line jaharian ships could discern royal insignia upon great battleship told tul axtar safe position liked reach ship next fleet moving forward toward ships helium dared spare time ships helium opened fire shells exploding leading ships jaharian,Edgar Rice Burroughs,681
17,destination control compass little value since know exact location jahar however set roughly point thirty degrees south latitude thirtyfive degrees east longitude believed jahar lay somewhere southwest point flying high speed long since left behind cultivated areas near helium crossing desolate deserted waste ocher moss clothed dead sea bottoms rolled mighty ocean bearing upon bosom shipping happy prosperous people halfforgotten memory legends barsoom upon edges plateaus marked shore line noble continent passed lonely monuments ancient prosperity sad deserted cities old barsoom even ruins grandeur magnificence still power awe modern man toward lowest sea bottoms ruins mark tragic trail ancient civilization,Edgar Rice Burroughs,715
18,feeling depression could shake depression utter hopelessness situation summit higher hill crossed halted tall weeds grew let us lie tavia said watch let us watchers sleep night comes shall move looked tired worried think suffering nervous strain eternal stalking physical fatigue know affected much might affect young girl trained fighting man lay close though felt safer thus soon asleep watched high vantage point could see considerable area country us long detected figures men prowling like hunting banths often apparent one stalking another least half dozen visible one time saw one overtake prey leap upon behind great distance discern accurately details,Edgar Rice Burroughs,660
19,ran blade deep body savage scream rage pain sought turn upon foot slipped upon dismembered hand stumbled awkwardly trying regain equilibrium never accomplished still stumbling grotesquely lunged edge roof courtyard fearing beast s scream might attract others kind roof ran swiftly north edge building noted tower earlier afternoon series lower buildings adjoining roofs might possibly accomplish descent street level cold cluros rising distant horizon shedding pale light upon city could plainly see roofs came north edge building long drop safe alternative since quite probable attempt descend building would meet members ape s herd attracted scream fellow slipping edge roof hung,Edgar Rice Burroughs,681
20,hadron hastor reminded said forget kind remember incident search sanoma tora tomorrow perhaps gone shall never see thought found like think yet knew true soon make friends said hope replied gone long time young taken away faintest memories life tjanath tjanath really means nothing could happy anywhere else barsoom friend close outer wall city conversation interrupted appearance flier evidently patrol bearing upon us sounding alarm shrill screaming horn shattering silence early morning almost immediately warning taken gongs shrieking sirens throughout city patrol boat changed course rose swiftly us landing stages rose scores fighting planes entirely surrounded tried hail nearer infernal,Edgar Rice Burroughs,694
21,understand concluded short laugh perfectly replied none less thank wanted opportunity inasmuch prepared achieve criminally necessary quibble means employed obtain however unflattering may months haunted palace tor hatan naturally good conversationalist well schooled stately dances joyous games barsoom means unwelcome visitor also made point often take sanoma tora one another four great palaces helium always welcome blood relationship existed mother gahan gathol married tara helium naturally felt progressing well suit progress fast enough keep pace racing desires passion never known love felt die soon possess sanoma tora upon certain night visited palace father definitely determined lay heart sword feet left,Edgar Rice Burroughs,716
22,well could get said intercourse world us woven asked entered valley hohr said saw beautiful forest running banks river syl doubtless saw fruit forest hungry sought gather set upon huge spiders sped along silver threads finer woman s hair yes said happened web spun hideous spiders weave fabric strong leather enduring rocks ghasta built women ghasta spin wonderful fabric asked slaves said men women whence come slaves asked intercourse upper world many come river tjanath died death others come river come whence never know silent people tell us sometimes come river usually crazed horrors journey glean knowledge ever go river,Edgar Rice Burroughs,628
23,group works different terms set forth agreement must obtain permission writing project gutenberg literary archive foundation manager project trademark contact foundation set forth section project gutenberg volunteers employees expend considerable effort identify copyright research transcribe proofread works protected us copyright law creating project collection despite efforts project electronic works medium may stored may contain defects limited incomplete inaccurate corrupt data transcription errors copyright intellectual property infringement defective damaged disk medium computer virus computer codes damage read equipment limited warranty disclaimer damages except right replacement refund described paragraph project gutenberg literary archive foundation owner project trademark party distributing project electronic work,Edgar Rice Burroughs,834
24,slave let us consider rather comrades arms nice said simply pause comrades let warn going directly jahar flier would recognized immediately harness would mark alien would accomplish nothing toward rescuing sanoma tora achieve pits tul axtar sooner later games great arena eventually must slain would suggest asked beyond jahar southwest lies tjanath city birth cities upon barsoom one may hope received friendly manner receive receive may better prepare enter jahar may accomplish disguising jaharian tul axtar permits alien within confines empire brought prisoners war slaves tjanath obtain harness metal jahar coach customs manners empire tul axtar short time may enter,Edgar Rice Burroughs,671
25,open hoping thoats follow us leaving masters unable pursue us mad plan said girl brave one discovered fighting unarmed give short sword warrior may least make best account possible unsnapped scabbard short sword harness attached left hip touched body could note sign trembling would affected fright excitement seemed perfectly cool collected tone voice reassuring sanoma tora known first spoken darkness room stumbled upon keenly disappointed still determined best could assist escape stranger although confident presence might greatly delay embarrass subjected far greater danger would fallen lot warrior traveling alone therefore reassuring find unwelcome companion would prove entirely helpless trust use,Edgar Rice Burroughs,707
26,line light appeared bottom one side walls kept growing width finally realized entire partition wall rising opening saw first sandaled feet warriors finally little little entire bodies revealed two stalwart brawny men heavily armed carried manacles fastened wrists behind backs speak gesture one directed us follow filed room second warrior fell behind us silence entered steep spiral ramp descended main body palace yet escorts conducted us still lower knew must pits beneath palace pits inwardly shuddered much preferred tower always possessed inherent horror pits perhaps would utterly dark doubtless overrun rats lizards ramp ended gorgeously decorated apartment assembled company men,Edgar Rice Burroughs,687
27,remained unbound instead sanoma tora different would outcome tul axtar s bid liberty revenge happened sure bound tul axtar securely could possibly freed yet must mistaken cursed carelessness upset plans might easily eventually spell doom helium disposed phao tavia tul axtar moved quickly controls ignoring sanoma tora passed view marked terror displayed could readily understand consider menace plans harmless free bound putting ship turned back toward jahar though understand mechanism destination control compass could cut made difference long remained controls effect compass might return ship former course controls abandoned ship motion presently turned toward destroy hadron hastor said given word,Edgar Rice Burroughs,704
28,tora assured take back believe said imagine gained entrance madness think two us could leave without detected threw cloak tan hadron become happened cried sanoma tora gained entrance explained shall escape removed cloak forbidden magic demanded best might words explained compound invisibility come fared sanoma tora asked treated ill treated replied one paid attention could scent wounded vanity tone tonight seen tul axtar come hall holds court among women yes said know followed take away asked quickly replied afraid quickly said asked passed tul axtar stopped moment heard speak one courtiers side told ascertain name quartered women told happens tul,Edgar Rice Burroughs,655
29,thought perhaps might best way start search sanoma tora perhaps might among company accordingly fell behind one groups followed large doorway short corridor opened great hall gorgeously appointed decorated suggest throne room jeddak fact appeared part purpose one end rose enormous highlycarved throne floor highly polished wood center large pool water along sides room commodious benches piled pillows soft silks furs tul axtar occasionally held unique court surrounded solely women danced disported limpid waters pool diversion banquets spread strains music high revelry persisted long night looked already assembled saw sanoma tora among took place close entrance might scrutinize face entered,Edgar Rice Burroughs,696
30,missing ships navy nearly instances ships engaged charting air currents recording atmospheric pressures different parts barsoom far empire recently become apparent vast majority ships never return cruising southern part western hemisphere unhospitable portion planet concerning unfortunately little knowledge owing fact developed trade unfriendly people inhabiting vast domain hadron hastor suggestion vaguest clues offer worth thousand oneman scout fliers dispatched noon tomorrow search abductors sanoma tora cruisers battleships take air well helium must know city nation developed weapon destruction used helium night belief weapon recent invention whatever power possesses must bending every effort perfect produce quantities make masters world spoken go,Edgar Rice Burroughs,759
31,project gutenberg literary archive foundation nonprofit c educational corporation organized laws state mississippi granted tax exempt status internal revenue service foundation s ein federal tax identification number contributions project gutenberg literary archive foundation tax deductible full extent permitted us federal laws state s laws foundation s business office located north west salt lake city ut email contact links date contact information found foundation s website official page wwwgutenbergorgcontact section information donations project gutenberg literary archive foundation project depends upon survive without widespread public support donations carry mission increasing number public domain licensed works freely distributed machinereadable form accessible widest array,Edgar Rice Burroughs,791
32,translate mass metal upon directed elementary constituents space may tul axtar manpower weapon yet still hesitated afraid sought excuse delay war conquest loot millions subjects demanded end hit upon plan insisting upon medium defense new rifle basing demands upon possibility power might also discovered similar weapon would eventually use spies informers learn secret jahar probably greatly surprise unquestionably embarrassment man assistant phor tak s laboratory presently developed substance dissipated rays new weapon rendering harmless substance bluish color metal portions ships weapons harness jahar painted yet tul axtar postponed war insisting upon production enormous quantity new rifles mighty fleet warships upon,Edgar Rice Burroughs,726
33,lift arms carry window phao s help managed draw open hatch interior returned closet tul axtar lay bound gagged stooped cut bonds held ankles precisely tell tul axtar said steel way yet find heart thirsts blood tul axtar difficulty restraining fail perhaps shall able save yet use tul axtar upon usefulness depends life dead value made rise walk window assisted sill terrorstricken tried make step space thought stepped deck jhama ahead saw apparently floating air took little heart finally succeeded getting aboard following closed hatch lighted single dim light within hull tavia turned looked orders hold tavia said tiny desk,Edgar Rice Burroughs,627
34,pits chance cell nur occupied experienced almost sensations homecoming variations alone fettered stone wall hope vial overlooked still reposed bottom pocket pouch time place use contents requisite materials hand even unfettered long pits time warriors came unlocking fetters conducted great throne room palace haj osis sat upon dais surrounded high officers functionaries army court haj alt prince saw led toward throne trembled rage halted front jed turned son warrior attacked haj alt asked scoundrel replied younger man took surprise would stabbed back managed outwit drew sword demanded haj osis person prince would killed kill yo seno whose corpse found corridor,Edgar Rice Burroughs,667
35,affected perhaps phao sanoma tora occupy thoughts sanoma tora chiseled beauty noble face stood clearly upon screen memory brief instant slowly began fade tried recall see short haughty lip cold level gaze receded blue presently emerged pair wondrous eyes moist tears perfect face head tousled hair warrior returned say ghron jed would receive us girls accompanied us fat padwar remaining behind though could sworn choice room jed received us upon second level palace large room even grotesquely decorated passed furniture weird shapes sizes nothing harmonized anything else yet result harmony discord unpleasing jed sat upon perfectly enormous throne volcanic glass,Edgar Rice Burroughs,665
36,fifty feet phor tak standing behind bench upon mounted disintegrating ray rifle aimed full tul axtar tavia nur perhaps man alone knew tavia phor tak destroy cry warning leaped room tul axtar phor tak looked quickly surprise large upon countenances heighoo screamed old inventor come back knave ingrate traitor come back die wait cried raising hand let speak silence screamed phor tak shall see tul axtar die hated kill without someone see someone witness death agony shall revenge first stop cried finger already hovering button would snatch tul axtar oblivion perhaps secret whereabouts tavia drew pistol phor tak made sudden,Edgar Rice Burroughs,626
37,woman s breast asked nur leaned time looking upward eaves tower cell highest level structure something impelled investigate direction insane urge perhaps born despair hold ankles nur said name first ancestor hold tightly clinging two remaining bars raised standing position upon window ledge nur clung ankles could reach top eaves extended fingers lowering sill whispered nur going attempt reach roof tower exclaimed asked laughed know admitted something within inner consciousness seems insistently urge fall said escaped fire follow good luck friend hastor raised standing position upon sill reached upward fingers bent edge lofty roof slowly drew upward two hundred feet,Edgar Rice Burroughs,673
38,whole tragic story false gods mars nur remained skeptical closely superstitions religion woven every fiber trifle fatigued battle strong current river perhaps suffering reaction nervous shock ordeal passed remained resting upon rocky shore river mystery eventually conversation turned uppermost minds yet hesitated mention fate tavia phao wish sentenced death said least might protect afraid shall never see said nur gloomily cruel fate found phao lose irretrievably quickly indeed strange trick fate tul axtar stole lost find tjanath looked slightly puzzled expression moment face cleared phao woman told dungeon tjanath said phao loved long first love lost thought never could care,Edgar Rice Burroughs,683
39,various natural colors beauties sometimes accentuated delicate stain high polishes perhaps striking feature interior decorations gorgeously painted fabric unbelievable lightness gave impression spun silver closely woven learn later would hold water great strength almost impossible tear upon painted brilliant colors fantastic scenes imagination might conceive spiders heads beautiful women women heads spiders flowers trees danced beneath great red sun great lizards passed within gloomy cavern journey tjanath figures depicted nothing represented nature created though mad mind conceived whole waited great entrance hall palace jed four girls danced entertainment strange dance never seen upon barsoom steps movements weird fantastic mural decorations,Edgar Rice Burroughs,753
40,somehow knew meant phao one looks like man swear would easy subdue shebanth know type shall leave evident recognized tavia one former occupants women s quarters palace glad reentered jhama closed hatch spoke us shall drop weapons use may thank future jeddara jahar clemency shown slowly jhama rose tavia removing cords ankles free came fell work upon bonds secured dazed crushed blow struck realize fact sanoma tora woman loved betrayed fully realized one fool would guessed tul axtar bribed set free promise would make jeddara jahar well ambition would fulfilled hideous cost never lived thousand years could look upon act,Edgar Rice Burroughs,623
41,managed say gone gone demanded tul axtar mean insisted hatch jhama saw open close possible standing looking thought struck left almost dazed turned sanoma tora cloak invisibility whispered nodded almost single bound crossed room window feeling deck jhama ship gone tul axtar taken tavia turned back crossed room sanoma tora accursed woman cried selfishness vanity treachery jeopardized safety one whose footprints fit touch wanted close fingers upon perfect throat yearned see agony death upon beautiful face turned away hands dropping sides man noble helium women helium sacred even sanoma tora came sounds renewed fighting mob broke knew lost one hope,Edgar Rice Burroughs,653
42,thousand times since given thanks first ancestors follow natural impulse response admonition voice whispered thrust red man race prisoner voice girl instantly withdrew blade kneeled beside come help cut bonds said quick soon return feeling rapidly body found wrists ankles secured leather thongs drawing dagger quickly severed alone asked helped feet yes replied next room playing decide one shall belong moment came clank side arms adjoining room coming said must find us taking hand moved window entered apartment fortunately reconnoitered stepping avenue well us looked right along face building saw green martian warrior emerging main entrance evidently rattling side arms,Edgar Rice Burroughs,676
43,added little sadly perhaps sorry defended slave girl said makes difference poor padwar rich enough afford slave perhaps one sorry rescued rich man laughed ran away richest man world said least guess must richest man world could richer tul axtar jeddak jahar belong tul axtar jeddak jahar exclaimed yes said stolen young city called tjanath ever since lived palace tul axtar many women thousands sometimes live lives palace never see seen shuddered terrible unhappy never known mother died young father memory see young indeed emissaries tul axtar stole home tjanath made friends everyone palace tul axtar liked slaves warriors chiefs,Edgar Rice Burroughs,633
44,standard consisting long sword short sword dagger pistol also provided extra ammunition supply concentrated ration used martian fighting men gathered together simple necessities single sleeping fur would constitute equipment mind given consideration various explanations disappearance sanoma tora searched brain slightest memory might suggest explanation point toward possible identity abductors thus engaged recalled reference jeddak tul axtar jahar within scope recollection incident might point clue distinctly recalled emissary tul axtar visited court helium long since heard boast riches power jeddak beauty women perhaps might well search direction jahar elsewhere departing determined visit palace tor hatan question slave last see sanoma tora,Edgar Rice Burroughs,750
45,useless purpose goodbye good luck whispered tavia return hope bring sanoma tora gone shall pray ancestors success thanking lowered hatch summit tower set small trap door raised door saw top ancient ladder long dead warriors used evidently seldom ever used attested dust upon rungs ladder led large room upper level portion palace room doubtless originally guard room receptacle odds ends discarded furniture hangings ornaments filled specimens craftsmanship ancient jahar together articles modern fabrication would interesting room explore yet passed nothing single searching glance living enemies closely following tavia s instructions descended two spiral ramps found ornately decorated corridor opening upon,Edgar Rice Burroughs,710
46,love realize love could ever displace felt phao lost irretrievably reminded found perhaps find wish might share optimism said little else buoy us reminded right said laugh added still live presently feeling rested set along shore direction river ran decided would course reason would easier going hill would lead slightest idea perhaps korus perhaps omean buried sea lay ships first born tumbled rock masses clambered along level stretches smooth gravel pursued rather aimless course knowing whither going goal toward strive vegetation weird grotesque almost colorless want sunlight treelike plants strange angular branches snapped lightest touch trees look like trees blossoms,Edgar Rice Burroughs,677
47,paint may destroyed power deflect succeeding torpedoes one one destroy nearest remaining ships fleet absolutely erased destroyed great fleet without risking life single man following see torpedoes coming suggested nur devise defense even gunfire might stop many heighoo thought cackled phor tak laid torpedo upon bench opened another cabinet cabinet number receptacles tightly sealed others opened revealing contents appeared different colored paints number receptacles protruded handles paint brushes one handle however appeared hang midair inches one shelves beneath section rim receptacle also appeared resting upon nothing phor tak placed open hand directly beneath floating rim removed hand cabinet rim receptacle,Edgar Rice Burroughs,718
48,words explained compound invisibility come fared sanoma tora asked treated ill treated replied one paid attention could scent wounded vanity tone tonight seen tul axtar come hall holds court among women yes said know followed take away asked quickly replied afraid quickly said asked passed tul axtar stopped moment heard speak one courtiers side told ascertain name quartered women told happens tul axtar noticed one us afraid difference make slave change come haughty sanoma tora arrogant beauty refused hand sanoma tora aspired jeddara humbled read droop shoulders trembling lips fearhaunted light shone eyes heart filled compassion astonished dismayed discover emotion,Edgar Rice Burroughs,672
49,convinced beyond doubt worst disasters befallen ship gone indeed compound invisibility drawbacks ship might probably great distance yet could see gentle wind blowing southwest ship risen roof would drift northeasterly direction though strained eyes toward point compass could discern nothing tiny eye periscope must admit moment well nigh discouraged seemed always success within grasp malign fate snatched presently shook weak despondency squared shoulders faced future whatever might bring moments considered position aspects sought discover best solution problem must rescue tavia felt would useless attempt without ship therefore must ship knew ships beneath royal hangars night hangars would closed locked watched,Edgar Rice Burroughs,718
50,mind prisoner said young woman apartments infant son haj osis fool misdirected us said sorry intruded sent fetch girl tavia prisoner palace guess know tavia prisoner treatment accorded surmised much said young woman better leave apartments discovered go ill nur standing beside looking young woman intently stepped forward closer first ancestor exclaimed low voice phao girl stepped back eyes wide surprise slowly recognition dawned within nur exclaimed nur came close girl took hand years phao thought dead said ship returned captain reported number others killed lied said girl sold us slavery tjanath nur harness tjanath prisoner replied companion warrior also,Edgar Rice Burroughs,663
51,like think yet knew true soon make friends said hope replied gone long time young taken away faintest memories life tjanath tjanath really means nothing could happy anywhere else barsoom friend close outer wall city conversation interrupted appearance flier evidently patrol bearing upon us sounding alarm shrill screaming horn shattering silence early morning almost immediately warning taken gongs shrieking sirens throughout city patrol boat changed course rose swiftly us landing stages rose scores fighting planes entirely surrounded tried hail nearer infernal din warning signals drowned voice hundreds guns covered us crews standing ready hurl destruction upon us tjanath always receive,Edgar Rice Burroughs,693
52,constitute equipment mind given consideration various explanations disappearance sanoma tora searched brain slightest memory might suggest explanation point toward possible identity abductors thus engaged recalled reference jeddak tul axtar jahar within scope recollection incident might point clue distinctly recalled emissary tul axtar visited court helium long since heard boast riches power jeddak beauty women perhaps might well search direction jahar elsewhere departing determined visit palace tor hatan question slave last see sanoma tora set another thought occurred knew temple knowledge might found either illustrations replicas metal harness every nation barsoom concerning aught known helium therefore repaired immediately temple assistance clerk,Edgar Rice Burroughs,759
53,tan hadron hastor replied nice name said certain boyish frankness way said convinced would quick tell liked name suggestion brainless flattery tone learn became better acquainted honesty candor two marked characteristics moment giving matters little thought since mind occupied portion narrative suggested easy swift method escape predicament believe asked find mantalia grove hid flier positive replied craft carry two asked oneman flier replied carry us though speed altitude reduced told grove lay southeast xanator accordingly turned thoat s head toward east passed well beyond limits city moved southerly direction hills onto dead sea bottom thuria winging swift flight heavens casting,Edgar Rice Burroughs,690
54,arrival tjanath told tavia s story well must least credit listening patience though constantly impressed feeling appeal directed mind already prejudiced nothing might say could alter convictions chiefs courtiers surrounded jed evinced open skepticism manner became convinced fear tul axtar obsessed unable consider intelligently matter connected activities jeddak jahar terror made suspicious suspicion sees everything distorted lenses finished story haj osis ordered removed room held small antechamber time imagined discussed case advisors ushered presence felt whole atmosphere chamber charged antagonism second time halted dais upon jed sat carved thronechair laws tjanath proclaimed haj osis glaring jed tjanath merciful enemies tjanath,Edgar Rice Burroughs,741
55,sorry defended slave girl said makes difference poor padwar rich enough afford slave perhaps one sorry rescued rich man laughed ran away richest man world said least guess must richest man world could richer tul axtar jeddak jahar belong tul axtar jeddak jahar exclaimed yes said stolen young city called tjanath ever since lived palace tul axtar many women thousands sometimes live lives palace never see seen shuddered terrible unhappy never known mother died young father memory see young indeed emissaries tul axtar stole home tjanath made friends everyone palace tul axtar liked slaves warriors chiefs always boyish amused train,Edgar Rice Burroughs,633
56,least cheat ghron could hurl high flung window ground far whatever end us may view kept started digging mortar bottom one bars prong buckle harness nur asked questions set work similarly upon mortar top bar worked silence little fear discovery one entered prison since incarcerated day partition raised inches food slipped us beneath see person brought anyone communicate us time guards taken us palace first night moment finally succeeded loosening bar could easily removed seat shall never forget impatience awaited coming night might remove bar investigate surrounding surface tower occurred might offer means descent ground rather roof building surmounted might,Edgar Rice Burroughs,665
57,see sections foundation information page wwwgutenbergorg section information project gutenberg literary archive foundation project gutenberg literary archive foundation nonprofit c educational corporation organized laws state mississippi granted tax exempt status internal revenue service foundation s ein federal tax identification number contributions project gutenberg literary archive foundation tax deductible full extent permitted us federal laws state s laws foundation s business office located north west salt lake city ut email contact links date contact information found foundation s website official page wwwgutenbergorgcontact section information donations project gutenberg literary archive foundation project depends upon survive without widespread public support donations carry mission,Edgar Rice Burroughs,803
58,darkness pits beneath barsoomian cities dungeon dim light filtered iron grating corridors ancient radium bulbs glowed faintly yet light gave thanks always believed go mad imprisoned utter darkness heavily fettered unnecessarily seemed chained massive iron ring set deep masonry wall dungeon leaving locked also ponderous iron grating doorway footfalls warriors diminished nothingness distance heard faint sound something moving nearby dungeon could strained eyes gloomy darkness presently eyes became accustomed dim light cell saw figure appeared man crouching wall near heard sound moved time accompanied rattle chain saw face turn toward could distinguish features another guest share hospitality tjanath said voice,Edgar Rice Burroughs,717
59,even small eye periscope might go undetected dropped ship little opening among lofty trees grew within palace garden waited twenty feet ground periscope completely screened view unseen consequence unseeing swift night barsoom descended upon tjanath rose slowly leafy retreat trees paused look periscope far twinkling lights circling patrol boats thousand windows palace shone lights rose dark outlines east tower silhouetted starry sky rising slowly circled tower brought jhama opposite tavia s window ship carried lights course switched lights within cabin felt might impunity raise one upper hatches jhama lay upper deck foot two beneath sill tavia s window venturing replaced,Edgar Rice Burroughs,678
